latitudeGrid,longitudeGrid,year,month,sightingCount
40.1,-75.4,2020,2,1
40.1,-75.4,2020,6,2
40.1,-75.4,2020,7,1
40.1,-75.4,2020,8,1
40.1,-75.4,2020,9,1
40.1,-75.4,2020,11,1
40.1,-75.3,2020,3,1
40.1,-75.3,2020,4,1
40.1,-75.3,2020,5,2
40.1,-75.3,2020,9,2
40.1,-75.2,2020,4,3
40.1,-75.2,2020,5,2
40.1,-75.2,2020,6,1
40.1,-75.2,2020,8,1
40.1,-75.2,2020,9,2
40.1,-75.1,2020,4,1
40.1,-75.1,2020,5,1
40.1,-75.1,2020,6,2
40.1,-75.1,2020,10,2
40.1,-75.0,2020,5,1
40.1,-75.0,2020,6,1
40.1,-75.0,2020,8,3
40.1,-74.9,2020,8,1
40.2,-80.0,2020,4,1
40.2,-79.9,2020,6,1
40.2,-77.2,2020,3,1
40.2,-77.2,2020,7,1
40.2,-77.0,2020,3,1
40.2,-77.0,2020,5,1
40.2,-77.0,2020,7,2
40.2,-76.9,2020,5,1
40.2,-76.8,2020,6,1
40.2,-76.7,2020,8,1
40.2,-76.2,2020,6,1
40.2,-76.0,2020,8,1
40.2,-75.6,2020,3,1
40.2,-75.5,2020,3,1
40.2,-75.5,2020,5,1
40.2,-75.4,2020,5,1
40.2,-75.2,2020,9,1
40.2,-75.1,2020,6,2
40.2,-75.1,2020,7,2
40.2,-75.1,2020,8,3
40.2,-75.1,2020,9,5
40.2,-75.1,2020,10,2
40.2,-75.1,2020,11,1
40.2,-75.0,2020,5,1
40.2,-75.0,2020,9,3
40.2,-74.8,2020,3,1
40.3,-80.1,2020,4,2
40.3,-80.1,2020,5,1
40.3,-80.1,2020,7,1
40.3,-80.1,2020,9,1
40.3,-80.1,2020,10,1
40.3,-80.0,2020,7,2
40.3,-80.0,2020,8,1
40.3,-79.6,2020,10,1
40.3,-79.4,2020,8,1
40.3,-79.4,2020,9,2
40.3,-79.4,2020,10,1
40.3,-76.9,2020,5,2
40.3,-76.9,2020,6,2
40.3,-76.9,2020,9,1
40.3,-76.8,2020,6,1
40.3,-76.8,2020,7,1
40.3,-76.8,2020,9,2
40.3,-76.2,2020,7,1
40.3,-75.4,2020,5,1
40.3,-75.2,2020,7,1
40.3,-75.0,2020,3,2
40.4,-80.2,2020,9,1
40.4,-80.1,2020,7,2
40.4,-80.1,2020,8,2
40.4,-80.0,2020,5,5
40.4,-80.0,2020,6,1
40.4,-80.0,2020,7,1
40.4,-80.0,2020,8,1
40.4,-80.0,2020,9,2
40.4,-80.0,2020,12,1
40.4,-79.9,2020,4,6
40.4,-79.9,2020,5,10
40.4,-79.9,2020,6,3
40.4,-79.9,2020,9,1
40.4,-79.9,2020,11,1
40.4,-79.8,2020,6,1
40.4,-79.8,2020,7,1
40.4,-79.8,2020,8,1
40.4,-79.5,2020,4,1
40.4,-77.2,2020,4,1
40.4,-75.5,2020,5,1
40.4,-75.5,2020,6,1
40.4,-75.5,2020,9,1
40.4,-75.2,2020,4,2
40.5,-80.2,2020,8,1
40.5,-80.1,2020,3,1
40.5,-80.1,2020,4,1
40.5,-80.0,2020,4,1
40.5,-80.0,2020,10,1
40.5,-79.9,2020,3,1
40.5,-79.9,2020,5,1
40.5,-79.9,2020,6,1
40.5,-79.9,2020,11,2
40.5,-79.8,2020,7,2
40.5,-79.7,2020,4,1
40.5,-79.7,2020,5,1
40.5,-79.4,2020,9,1
40.5,-78.2,2020,5,1
40.6,-80.1,2020,5,2
40.6,-80.1,2020,7,1
40.6,-80.0,2020,8,1
40.6,-79.9,2020,5,1
40.6,-79.7,2020,5,1
40.6,-79.7,2020,6,1
40.6,-78.7,2020,7,1
40.6,-75.7,2020,8,1
40.6,-75.5,2020,5,1
40.6,-75.5,2020,9,2
40.7,-79.7,2020,8,1
40.7,-79.5,2020,1,1
40.7,-79.2,2020,9,1
40.7,-78.5,2020,7,1
40.7,-78.1,2020,9,1
40.7,-75.2,2020,6,1
40.7,-75.2,2020,7,1
40.8,-79.8,2020,6,2
40.8,-79.7,2020,6,1
40.8,-78.5,2020,8,1
40.8,-77.9,2020,4,1
40.8,-77.9,2020,5,2
40.8,-77.9,2020,8,2
40.8,-77.9,2020,9,3
40.8,-77.8,2020,2,1
40.8,-77.8,2020,4,1
40.8,-76.0,2020,7,1
40.8,-75.3,2020,8,1
40.8,-75.2,2020,10,1
40.9,-79.5,2020,9,1
40.9,-79.4,2020,7,1
40.9,-79.3,2020,9,1
40.9,-76.5,2020,6,1
40.9,-76.1,2020,3,1
40.9,-75.5,2020,8,1
40.9,-75.5,2020,9,1
41.0,-80.1,2020,5,1
41.0,-77.9,2020,7,1
41.0,-76.9,2020,5,1
41.0,-76.9,2020,11,1
41.0,-76.6,2020,7,1
41.0,-76.5,2020,4,1
41.0,-76.5,2020,5,1
41.0,-76.4,2020,4,1
41.0,-76.4,2020,5,1
41.1,-80.0,2020,7,1
41.1,-79.4,2020,4,1
41.1,-78.8,2020,9,1
41.1,-78.7,2020,9,1
41.1,-76.6,2020,6,1
41.1,-75.5,2020,6,1
41.1,-75.0,2020,4,1
41.2,-80.4,2020,6,1
41.2,-80.1,2020,11,1
41.2,-75.9,2020,9,1
41.2,-75.4,2020,8,1
41.2,-75.4,2020,9,1
41.3,-80.4,2020,7,1
41.3,-79.4,2020,8,1
41.3,-75.9,2020,9,4
41.3,-75.1,2020,9,1
41.3,-74.8,2020,8,1
41.4,-80.4,2020,9,1
41.4,-80.1,2020,5,1
41.4,-75.7,2020,5,1
41.5,-75.7,2020,6,1
41.6,-79.7,2020,6,1
41.7,-80.1,2020,5,1
41.7,-77.8,2020,8,1
41.8,-76.8,2020,7,1
41.9,-75.8,2020,4,1
41.9,-75.8,2020,5,1
42.0,-80.4,2020,9,1
