latitudeGrid,longitudeGrid,year,month,sightingCount
39.8,-77.2,2020,8,1
39.8,-77.2,2020,10,1
39.8,-77.0,2020,6,1
39.8,-75.4,2020,3,1
39.8,-75.4,2020,10,1
39.8,-75.3,2020,9,1
39.9,-79.6,2020,6,1
39.9,-76.4,2020,10,1
39.9,-75.6,2020,5,1
39.9,-75.4,2020,5,2
39.9,-75.4,2020,6,1
39.9,-75.4,2020,10,2
39.9,-75.4,2020,11,1
39.9,-75.3,2020,1,1
39.9,-75.3,2020,4,1
39.9,-75.3,2020,5,1
39.9,-75.3,2020,7,1
39.9,-75.2,2020,4,2
39.9,-75.2,2020,5,4
39.9,-75.2,2020,7,3
39.9,-75.2,2020,8,3
39.9,-75.2,2020,9,4
39.9,-75.2,2020,10,1
39.9,-75.1,2020,4,1
39.9,-75.1,2020,5,1
40.0,-77.6,2020,6,1
40.0,-77.5,2020,4,1
40.0,-77.1,2020,12,1
40.0,-76.7,2020,3,1
40.0,-76.7,2020,9,1
40.0,-76.3,2020,6,1
40.0,-75.9,2020,3,1
40.0,-75.9,2020,7,1
40.0,-75.3,2020,5,1
40.0,-75.3,2020,7,2
40.0,-75.3,2020,8,1
40.0,-75.2,2020,3,2
40.0,-75.2,2020,4,4
40.0,-75.2,2020,5,7
40.0,-75.2,2020,6,7
40.0,-75.2,2020,7,2
40.0,-75.2,2020,8,1
40.0,-75.2,2020,9,4
40.0,-75.1,2020,3,1
40.0,-75.1,2020,5,1
40.0,-75.1,2020,7,1
40.0,-75.1,2020,8,1
40.0,-75.0,2020,4,2
40.0,-75.0,2020,8,1
40.0,-75.0,2020,9,1
40.0,-74.9,2020,9,1
40.1,-80.5,2020,5,1
40.1,-78.5,2020,5,1
40.1,-77.1,2020,8,1
40.1,-76.5,2020,5,1
40.1,-76.4,2020,4,2
40.1,-76.3,2020,4,1
40.1,-76.3,2020,5,1
40.1,-76.3,2020,6,1
40.1,-76.3,2020,7,1
40.1,-76.2,2020,4,2
40.1,-76.2,2020,7,1
40.1,-75.7,2020,4,1
40.1,-75.5,2020,6,1
40.1,-75.5,2020,11,1
