latitudeGrid,longitudeGrid,year,sightingCount
39.7,-77.6,2024,1
39.7,-77.2,2024,2
39.7,-75.8,2024,1
39.8,-79.5,2024,1
39.8,-79.4,2024,1
39.8,-77.7,2024,1
39.8,-77.2,2024,1
39.8,-76.9,2024,1
39.8,-76.6,2024,4
39.8,-76.2,2024,1
39.8,-75.8,2024,1
39.8,-75.7,2024,1
39.8,-75.3,2024,1
39.8,-75.2,2024,2
39.9,-80.1,2024,2
39.9,-76.7,2024,2
39.9,-76.6,2024,3
39.9,-76.4,2024,2
39.9,-76.1,2024,1
39.9,-76.0,2024,1
39.9,-75.7,2024,1
39.9,-75.6,2024,2
39.9,-75.5,2024,6
39.9,-75.4,2024,7
39.9,-75.3,2024,6
39.9,-75.2,2024,20
40.0,-79.2,2024,1
40.0,-78.5,2024,1
40.0,-77.3,2024,3
40.0,-76.8,2024,2
40.0,-76.7,2024,2
40.0,-76.5,2024,1
40.0,-76.4,2024,3
40.0,-76.2,2024,1
40.0,-75.7,2024,1
40.0,-75.6,2024,4
40.0,-75.5,2024,5
40.0,-75.4,2024,2
40.0,-75.3,2024,6
40.0,-75.2,2024,28
40.1,-77.3,2024,1
40.1,-77.0,2024,3
40.1,-76.7,2024,1
40.1,-75.7,2024,3
40.1,-75.6,2024,2
40.1,-75.5,2024,9
40.1,-75.4,2024,5
40.1,-75.3,2024,1
40.1,-75.2,2024,10
40.1,-75.1,2024,2
40.1,-75.0,2024,3
40.1,-74.9,2024,8
40.2,-80.4,2024,1
40.2,-80.1,2024,1
40.2,-80.0,2024,2
40.2,-79.6,2024,2
40.2,-77.7,2024,1
40.2,-77.2,2024,2
40.2,-77.0,2024,3
40.2,-76.9,2024,1
40.2,-76.7,2024,1
40.2,-76.2,2024,1
40.2,-75.8,2024,6
40.2,-75.7,2024,2
40.2,-75.6,2024,2
40.2,-75.4,2024,4
40.2,-75.2,2024,9
40.2,-75.1,2024,9
40.2,-75.0,2024,1
40.2,-74.9,2024,12
40.2,-74.8,2024,1
40.3,-80.2,2024,1
40.3,-80.1,2024,3
40.3,-80.0,2024,8
40.3,-79.9,2024,2
40.3,-79.5,2024,1
40.3,-79.4,2024,7
40.3,-79.2,2024,1
40.3,-77.0,2024,1
40.3,-76.9,2024,15
40.3,-76.8,2024,2
40.3,-76.7,2024,1
40.3,-76.2,2024,1
40.3,-76.1,2024,1
40.3,-76.0,2024,2
40.3,-75.9,2024,1
40.3,-75.6,2024,2
40.3,-75.5,2024,1
40.3,-75.4,2024,1
40.3,-75.2,2024,1
40.3,-75.1,2024,2
40.3,-75.0,2024,4
40.4,-80.2,2024,1
40.4,-80.1,2024,2
40.4,-80.0,2024,6
40.4,-79.9,2024,5
40.4,-79.5,2024,3
40.4,-79.2,2024,1
40.4,-77.0,2024,1
40.4,-76.6,2024,1
40.4,-75.9,2024,1
40.4,-75.5,2024,2
40.4,-75.3,2024,1
40.4,-75.1,2024,1
40.5,-80.4,2024,6
40.5,-80.2,2024,2
40.5,-80.1,2024,2
40.5,-80.0,2024,5
40.5,-79.9,2024,3
40.5,-79.8,2024,2
40.5,-79.4,2024,1
40.5,-79.3,2024,1
40.5,-78.4,2024,1
40.5,-78.2,2024,1
40.5,-77.0,2024,1
40.5,-75.4,2024,1
40.6,-80.2,2024,1
40.6,-80.0,2024,6
40.6,-79.6,2024,1
40.6,-79.2,2024,3
40.6,-78.8,2024,1
40.6,-78.6,2024,1
40.6,-76.2,2024,1
40.6,-75.9,2024,3
40.6,-75.5,2024,4
40.6,-75.4,2024,2
40.7,-80.4,2024,1
40.7,-80.2,2024,1
40.7,-79.5,2024,1
40.7,-79.2,2024,1
40.7,-79.1,2024,2
40.7,-75.6,2024,1
40.7,-75.2,2024,2
40.8,-79.8,2024,1
40.8,-79.5,2024,1
40.8,-77.9,2024,24
40.8,-76.1,2024,1
40.8,-76.0,2024,1
40.8,-75.4,2024,1
40.9,-80.0,2024,2
40.9,-79.4,2024,1
40.9,-76.6,2024,1
40.9,-76.5,2024,3
40.9,-75.6,2024,1
41.0,-80.3,2024,4
41.0,-77.7,2024,1
41.0,-77.6,2024,1
41.0,-76.9,2024,1
41.0,-76.6,2024,5
41.0,-75.1,2024,1
41.1,-80.2,2024,2
41.1,-80.0,2024,5
41.1,-78.8,2024,1
41.1,-75.1,2024,2
41.2,-79.7,2024,1
41.2,-77.0,2024,1
41.2,-76.4,2024,1
41.2,-75.9,2024,1
41.2,-75.5,2024,2
41.2,-75.3,2024,2
41.3,-80.5,2024,1
41.3,-80.4,2024,1
41.3,-80.3,2024,1
41.3,-79.2,2024,1
41.3,-79.1,2024,1
41.3,-76.0,2024,1
41.3,-75.5,2024,1
41.3,-75.0,2024,1
41.3,-74.8,2024,1
41.4,-80.4,2024,1
41.4,-75.7,2024,3
41.4,-75.6,2024,2
41.5,-80.5,2024,1
41.5,-79.4,2024,1
41.5,-79.1,2024,1
41.5,-78.2,2024,1
41.5,-76.0,2024,2
41.5,-75.1,2024,1
41.6,-80.5,2024,3
41.6,-80.4,2024,1
41.6,-80.0,2024,1
41.6,-79.9,2024,1
41.6,-75.8,2024,1
41.6,-75.7,2024,1
41.6,-75.2,2024,1
41.7,-80.1,2024,1
41.7,-78.4,2024,1
41.7,-75.2,2024,1
41.8,-76.8,2024,1
41.8,-76.4,2024,1
41.9,-80.4,2024,1
41.9,-80.1,2024,1
41.9,-77.8,2024,1
42.0,-80.2,2024,2
42.0,-79.6,2024,1
42.1,-80.1,2024,1
42.1,-80.0,2024,1
