latitudeGrid,longitudeGrid,year,sightingCount
39.8,-76.9,2022,1
39.8,-75.4,2022,2
39.8,-75.1,2022,1
39.9,-77.3,2022,1
39.9,-76.8,2022,1
39.9,-76.7,2022,3
39.9,-75.6,2022,2
39.9,-75.5,2022,1
39.9,-75.4,2022,2
39.9,-75.3,2022,6
39.9,-75.2,2022,15
40.0,-79.9,2022,1
40.0,-79.2,2022,1
40.0,-76.7,2022,1
40.0,-76.3,2022,1
40.0,-75.5,2022,1
40.0,-75.4,2022,2
40.0,-75.3,2022,4
40.0,-75.2,2022,23
40.0,-75.1,2022,2
40.0,-75.0,2022,1
40.1,-79.9,2022,1
40.1,-79.5,2022,1
40.1,-78.9,2022,1
40.1,-77.8,2022,1
40.1,-77.3,2022,2
40.1,-76.9,2022,1
40.1,-76.7,2022,1
40.1,-76.6,2022,1
40.1,-76.5,2022,1
40.1,-75.8,2022,2
40.1,-75.7,2022,1
40.1,-75.6,2022,1
40.1,-75.5,2022,2
40.1,-75.4,2022,2
40.1,-75.3,2022,6
40.1,-75.2,2022,13
40.1,-75.1,2022,3
40.1,-75.0,2022,2
40.1,-74.9,2022,2
40.2,-80.3,2022,1
40.2,-79.7,2022,1
40.2,-79.4,2022,1
40.2,-77.0,2022,6
40.2,-76.8,2022,3
40.2,-76.6,2022,2
40.2,-76.0,2022,1
40.2,-75.6,2022,1
40.2,-75.5,2022,1
40.2,-75.4,2022,2
40.2,-75.2,2022,2
40.2,-75.1,2022,12
40.2,-75.0,2022,4
40.2,-74.9,2022,2
40.3,-80.3,2022,1
40.3,-80.1,2022,2
40.3,-80.0,2022,1
40.3,-79.4,2022,2
40.3,-79.3,2022,1
40.3,-78.9,2022,1
40.3,-78.4,2022,1
40.3,-76.9,2022,6
40.3,-76.8,2022,1
40.3,-76.6,2022,1
40.3,-76.3,2022,1
40.3,-75.6,2022,1
40.3,-75.5,2022,1
40.3,-75.0,2022,9
40.4,-80.0,2022,5
40.4,-79.9,2022,8
40.4,-79.8,2022,1
40.4,-79.6,2022,1
40.4,-79.5,2022,6
40.4,-78.9,2022,2
40.4,-78.8,2022,1
40.4,-76.6,2022,1
40.4,-76.4,2022,1
40.4,-75.0,2022,1
40.5,-80.2,2022,4
40.5,-80.1,2022,2
40.5,-80.0,2022,8
40.5,-79.9,2022,4
40.5,-79.8,2022,1
40.5,-77.2,2022,1
40.6,-80.1,2022,5
40.6,-80.0,2022,9
40.6,-79.9,2022,1
40.6,-79.7,2022,1
40.6,-79.2,2022,6
40.6,-79.0,2022,1
40.7,-80.0,2022,1
40.7,-79.5,2022,1
40.7,-79.4,2022,1
40.7,-79.2,2022,1
40.7,-77.9,2022,2
40.7,-75.3,2022,2
40.8,-80.2,2022,1
40.8,-80.1,2022,2
40.8,-77.9,2022,13
40.8,-77.8,2022,4
40.8,-76.1,2022,1
40.9,-79.9,2022,1
40.9,-78.1,2022,1
40.9,-77.6,2022,1
40.9,-77.3,2022,1
41.0,-80.1,2022,1
41.0,-77.9,2022,1
41.0,-75.7,2022,1
41.1,-79.9,2022,1
41.1,-78.8,2022,1
41.1,-77.5,2022,1
41.1,-76.3,2022,1
41.1,-75.6,2022,2
41.1,-75.5,2022,2
41.1,-75.0,2022,4
41.2,-79.4,2022,2
41.2,-78.7,2022,1
41.2,-76.0,2022,1
41.2,-75.6,2022,1
41.2,-75.4,2022,1
41.2,-75.3,2022,1
41.3,-80.5,2022,1
41.3,-79.6,2022,1
41.3,-79.4,2022,1
41.3,-79.2,2022,1
41.4,-80.4,2022,4
41.4,-75.7,2022,2
41.4,-75.6,2022,2
41.4,-75.3,2022,1
41.5,-80.5,2022,2
41.5,-75.0,2022,1
41.6,-80.5,2022,4
41.6,-80.1,2022,1
41.6,-79.7,2022,1
41.7,-80.4,2022,1
41.7,-77.3,2022,1
41.9,-76.6,2022,1
42.1,-80.2,2022,1
42.1,-80.1,2022,1
42.2,-80.0,2022,1
