latitudeGrid,longitudeGrid,year,sightingCount
40.6,-75.3,2025,1
40.7,-80.3,2025,2
40.7,-80.2,2025,1
40.7,-79.7,2025,1
40.7,-79.6,2025,2
40.7,-79.2,2025,1
40.7,-78.5,2025,2
40.7,-75.6,2025,2
40.7,-75.3,2025,2
40.8,-80.2,2025,2
40.8,-79.9,2025,7
40.8,-79.6,2025,1
40.8,-78.0,2025,1
40.8,-77.9,2025,6
40.8,-77.8,2025,1
40.8,-76.5,2025,1
40.8,-76.1,2025,1
40.8,-75.5,2025,1
40.9,-80.4,2025,1
40.9,-80.1,2025,2
40.9,-80.0,2025,1
40.9,-77.8,2025,1
40.9,-76.5,2025,1
40.9,-75.6,2025,1
41.0,-80.3,2025,1
41.0,-80.1,2025,3
41.0,-80.0,2025,1
41.0,-78.9,2025,1
41.0,-78.5,2025,1
41.0,-76.9,2025,1
41.0,-76.6,2025,10
41.0,-76.5,2025,1
41.0,-76.4,2025,1
41.0,-75.7,2025,1
41.0,-75.5,2025,1
41.0,-75.4,2025,1
41.1,-80.2,2025,1
41.1,-79.5,2025,1
41.1,-79.0,2025,1
41.1,-78.8,2025,5
41.1,-78.7,2025,7
41.1,-76.0,2025,1
41.1,-75.7,2025,2
41.1,-75.6,2025,1
41.1,-75.5,2025,1
41.1,-75.4,2025,1
41.2,-80.5,2025,2
41.2,-79.9,2025,1
41.2,-79.4,2025,1
41.2,-78.7,2025,1
41.2,-78.5,2025,1
41.2,-77.3,2025,1
41.2,-77.0,2025,1
41.2,-76.0,2025,1
41.2,-75.9,2025,2
41.2,-75.3,2025,1
41.2,-74.9,2025,1
41.3,-79.4,2025,1
41.3,-76.0,2025,2
41.3,-75.9,2025,1
41.3,-75.8,2025,1
41.3,-75.1,2025,1
41.4,-75.7,2025,2
41.5,-80.3,2025,1
41.5,-79.5,2025,1
41.5,-75.7,2025,2
41.5,-75.4,2025,1
41.6,-80.1,2025,1
41.6,-79.6,2025,1
41.6,-75.8,2025,1
41.6,-75.7,2025,1
41.6,-75.5,2025,1
41.6,-75.1,2025,1
41.7,-80.1,2025,2
41.7,-77.7,2025,1
41.7,-77.5,2025,1
41.7,-75.9,2025,1
41.8,-78.0,2025,1
41.8,-76.8,2025,1
41.9,-80.4,2025,2
42.0,-80.4,2025,1
42.0,-79.8,2025,1
42.0,-76.6,2025,1
42.0,-75.9,2025,1
42.1,-80.1,2025,3
42.2,-80.0,2025,2
