lat,long,year,VOLCF_AC_UNADJ
41.2,-76.0,2022,439.2809276375
41.3,-77.0,2022,149.66651074375
41.4,-79.7,2022,112.7358132875
41.4,-78.2,2022,155.4976735
41.5,-76.5,2022,2606.52975204375
41.8,-79.3,2022,1049.609296125
41.8,-77.9,2022,1302.2930155625
41.8,-77.2,2022,480.09906693125
41.8,-75.8,2022,557.8479036812499
42.1,-80.1,2022,17.49348826875
39.9,-79.7,2023,171.04744085
39.9,-77.2,2023,1992.31394171875
40.0,-78.1,2023,705.57069350625
40.1,-78.4,2023,101.07348777499999
40.3,-79.5,2023,1339.22371301875
40.3,-76.4,2023,314.8827888375
40.4,-78.0,2023,1201.2195277875
40.5,-80.0,2023,612.27208940625
40.7,-80.3,2023,347.92604445625
40.7,-79.1,2023,721.12046085625
40.7,-76.2,2023,48.59302296875
40.9,-77.8,2023,136.0604643125
40.9,-76.7,2023,287.670695975
40.9,-75.8,2023,149.66651074375
41.0,-76.4,2023,365.41953272499995
41.3,-77.0,2023,17.49348826875
41.3,-75.0,2023,1158.457667575
41.4,-78.6,2023,1154.5702257374999
41.5,-79.3,2023,456.77441590625
41.6,-75.9,2023,503.42371795624996
41.8,-78.6,2023,2072.0064993875
41.8,-77.9,2023,246.85255668125
41.8,-77.2,2023,2548.21812448125
41.8,-76.5,2023,651.14650778125
41.8,-75.8,2023,69.973953075
40.0,-79.0,2024,2641.51672858125
40.0,-78.1,2024,17.49348826875
40.1,-76.3,2024,248.7962776
40.2,-80.1,2024,66.08651123749999
40.3,-79.5,2024,2038.9632437687499
40.3,-76.8,2024,219.64046381875
40.4,-78.4,2024,880.50557619375
40.4,-77.2,2024,79614.808832
40.7,-75.3,2024,518.97348530625
40.8,-77.0,2024,276.0083704625
40.9,-79.9,2024,77.74883675
40.9,-78.4,2024,136.06046431250002
40.9,-77.8,2024,171.04744085
41.0,-76.4,2024,31.0995347
41.1,-79.0,2024,66.08651123749999
41.2,-79.4,2024,260.4586031125
41.2,-77.5,2024,398.46278834375
41.2,-76.0,2024,287.670695975
41.3,-75.0,2024,149.66651074375
41.4,-78.6,2024,553.96046184375
41.6,-75.3,2024,307.1079051625
41.8,-79.3,2024,371.25069548125
41.8,-77.9,2024,3176.0399812375
41.8,-77.2,2024,705.57069350625
