latitude,longitude,year,total_wood_chucked_lbs,type
41.3,-75.8,2019,13562.691406067112,historical
41.5,-80.0,2019,178.7313153281542,historical
41.6,-80.2,2019,488.38856193987937,historical
41.8,-79.1,2019,129.4595980562137,forecast
41.9,-79.2,2019,1591.6182061969996,forecast
42.2,-79.9,2019,1591.6182061969998,forecast
39.7,-76.1,2020,1518.6484316558003,forecast
39.8,-79.9,2020,1807.5940286775733,forecast
39.8,-77.4,2020,1807.594028677573,forecast
39.8,-77.2,2020,8093.963043431716,historical
39.8,-77.0,2020,75874.81740986097,historical
39.8,-75.9,2020,1518.6484316558003,forecast
39.8,-75.4,2020,36980.22809108799,historical
39.8,-75.3,2020,843.6912407511417,historical
39.9,-79.6,2020,1740.4070768877957,historical
39.9,-76.4,2020,2870.651071276749,historical
39.9,-75.6,2020,65361.898446979794,historical
39.9,-75.4,2020,179422.38969411384,historical
39.9,-75.3,2020,137179.0780477079,historical
39.9,-75.2,2020,225457.2915678874,historical
39.9,-75.1,2020,31230.218887422365,historical
40.0,-80.0,2020,10077.57257434365,forecast
40.0,-78.6,2020,10077.57257434365,forecast
40.0,-78.2,2020,10077.572574343652,forecast
40.0,-77.6,2020,25.50375063814061,historical
40.0,-77.5,2020,365.0704500500599,historical
40.0,-77.1,2020,1277.7958700404768,historical
40.0,-76.7,2020,11405.32536176868,historical
40.0,-76.3,2020,93487.71516096123,historical
40.0,-76.0,2020,198069.16452500148,forecast
40.0,-75.9,2020,4882.651962110942,historical
40.0,-75.3,2020,150017.9745445124,historical
40.0,-75.2,2020,493845.7526100392,historical
40.0,-75.1,2020,822966.6346832432,historical
40.0,-75.0,2020,23087.10742578384,historical
40.0,-74.9,2020,843.6912407511417,historical
40.1,-80.5,2020,132.3070067690101,historical
40.1,-79.6,2020,20682.496769422472,forecast
40.1,-78.5,2020,159.94725403531052,historical
40.1,-77.1,2020,1745.5762583317448,historical
40.1,-76.5,2020,13291.663674635343,historical
40.1,-76.4,2020,10732.45748160024,historical
40.1,-76.3,2020,78504.87230877718,historical
40.1,-76.2,2020,13021.744780159248,historical
40.1,-75.7,2020,7392.294884200064,historical
40.1,-75.5,2020,30697.748611718904,historical
40.1,-75.4,2020,69178.27030982041,historical
40.1,-75.3,2020,72111.21035674548,historical
40.1,-75.2,2020,105043.99457855552,historical
40.1,-75.1,2020,113023.01142692693,historical
40.1,-75.0,2020,115500.50520029433,historical
40.1,-74.9,2020,68916.38870252475,historical
40.2,-80.0,2020,214.45948051050613,historical
40.2,-79.9,2020,15730.83494158058,historical
40.2,-77.2,2020,16852.00063981277,historical
40.2,-77.0,2020,22349.799732985237,historical
40.2,-76.9,2020,14339.861816313894,historical
40.2,-76.8,2020,3732.9224896481614,historical
40.2,-76.7,2020,3367.5419089035017,historical
40.2,-76.2,2020,30419.122656130683,historical
40.2,-76.0,2020,20.09321795107384,historical
40.2,-75.6,2020,7569.784976101218,historical
40.2,-75.5,2020,28458.02458410587,historical
40.2,-75.4,2020,223139.2039902652,historical
40.2,-75.2,2020,21829.94175597832,historical
40.2,-75.1,2020,78524.29575279655,historical
40.2,-75.0,2020,49014.72609591781,historical
40.2,-74.8,2020,18004.819214331023,historical
40.3,-80.1,2020,3878.6715005920632,historical
40.3,-80.0,2020,6303.431481261534,historical
40.3,-79.6,2020,5852.05231539912,historical
40.3,-79.4,2020,8141.287272724683,historical
40.3,-76.9,2020,21516.93827211847,historical
40.3,-76.8,2020,16461.868471340236,historical
40.3,-76.2,2020,3776.8552008701786,historical
40.3,-75.4,2020,47339.62149272996,historical
40.3,-75.2,2020,14169.737299097267,historical
40.3,-75.0,2020,44775.72688217294,historical
40.4,-80.2,2020,882.7523491628353,historical
40.4,-80.1,2020,6031.815373826814,historical
