latitudeGrid,longitudeGrid,year,month,sightingCount
39.7,-77.3,2021,4,1
39.8,-77.8,2021,6,1
39.8,-77.2,2021,4,3
39.8,-75.7,2021,5,1
39.8,-75.3,2021,6,1
39.9,-76.8,2021,8,1
39.9,-75.7,2021,5,1
39.9,-75.6,2021,3,1
39.9,-75.5,2021,6,1
39.9,-75.4,2021,3,1
39.9,-75.4,2021,4,1
39.9,-75.3,2021,2,1
39.9,-75.3,2021,5,1
39.9,-75.3,2021,7,1
39.9,-75.3,2021,10,1
39.9,-75.2,2021,3,1
39.9,-75.2,2021,4,2
39.9,-75.2,2021,5,4
39.9,-75.2,2021,6,1
39.9,-75.2,2021,7,3
39.9,-75.2,2021,8,2
39.9,-75.2,2021,10,1
39.9,-75.0,2021,8,1
40.0,-77.6,2021,3,1
40.0,-77.6,2021,4,1
40.0,-76.7,2021,6,2
40.0,-76.7,2021,9,1
40.0,-76.6,2021,5,1
40.0,-76.5,2021,9,1
40.0,-76.4,2021,8,1
40.0,-76.3,2021,5,1
40.0,-76.3,2021,9,1
40.0,-75.7,2021,4,2
40.0,-75.6,2021,8,1
40.0,-75.6,2021,11,1
40.0,-75.5,2021,4,1
40.0,-75.4,2021,4,1
40.0,-75.4,2021,6,3
40.0,-75.4,2021,8,1
40.0,-75.4,2021,9,1
40.0,-75.3,2021,5,1
40.0,-75.2,2021,4,6
40.0,-75.2,2021,5,6
40.0,-75.2,2021,7,1
40.0,-75.2,2021,8,2
40.0,-75.2,2021,9,2
40.0,-75.1,2021,5,1
40.0,-75.0,2021,9,2
40.1,-78.9,2021,8,1
40.1,-77.5,2021,6,1
40.1,-76.8,2021,8,1
40.1,-76.6,2021,9,1
40.1,-76.3,2021,3,2
40.1,-75.5,2021,3,1
40.1,-75.5,2021,6,1
40.1,-75.5,2021,8,1
40.1,-75.4,2021,1,1
40.1,-75.4,2021,6,1
40.1,-75.4,2021,8,1
40.1,-75.4,2021,10,1
40.1,-75.3,2021,4,1
40.1,-75.3,2021,5,1
40.1,-75.3,2021,7,2
40.1,-75.2,2021,4,2
40.1,-75.2,2021,5,1
40.1,-75.2,2021,7,1
40.1,-75.0,2021,5,1
40.1,-75.0,2021,6,1
40.1,-74.9,2021,5,1
40.2,-80.3,2021,11,1
40.2,-80.1,2021,6,1
40.2,-79.7,2021,6,1
40.2,-79.3,2021,6,1
40.2,-77.0,2021,5,1
40.2,-76.3,2021,5,1
40.2,-75.8,2021,9,1
40.2,-75.8,2021,10,1
40.2,-75.3,2021,7,1
40.2,-75.1,2021,5,1
40.2,-75.1,2021,6,4
40.2,-75.1,2021,7,3
40.2,-75.1,2021,8,5
40.2,-75.1,2021,9,3
40.2,-75.1,2021,10,1
40.2,-74.9,2021,7,2
40.2,-74.8,2021,4,1
40.2,-74.8,2021,5,1
40.3,-80.2,2021,10,1
40.3,-80.1,2021,8,1
40.3,-80.0,2021,7,1
40.3,-79.4,2021,9,1
40.3,-78.7,2021,9,1
40.3,-77.1,2021,6,1
40.3,-76.9,2021,6,2
40.3,-76.9,2021,7,2
40.3,-76.9,2021,10,1
40.3,-76.8,2021,7,1
40.3,-76.7,2021,7,1
40.3,-76.4,2021,5,1
40.3,-76.0,2021,5,1
40.3,-75.9,2021,6,1
40.3,-75.9,2021,8,1
40.3,-75.8,2021,10,1
40.3,-75.5,2021,7,1
40.3,-75.4,2021,5,1
40.3,-75.2,2021,5,1
40.3,-75.0,2021,8,2
40.3,-75.0,2021,12,1
40.4,-80.2,2021,8,1
40.4,-80.1,2021,6,1
40.4,-80.0,2021,9,1
40.4,-80.0,2021,10,2
40.4,-79.9,2021,4,1
40.4,-79.9,2021,5,2
40.4,-79.9,2021,6,2
40.4,-79.9,2021,8,1
40.4,-79.9,2021,10,3
40.4,-79.9,2021,11,1
40.4,-78.8,2021,7,1
40.4,-75.8,2021,4,1
40.4,-75.0,2021,7,2
40.5,-80.2,2021,5,1
40.5,-80.2,2021,6,1
40.5,-80.1,2021,4,1
40.5,-80.1,2021,6,1
40.5,-80.1,2021,7,1
40.5,-80.0,2021,3,2
40.5,-80.0,2021,5,2
40.5,-80.0,2021,6,1
40.5,-80.0,2021,7,1
40.5,-80.0,2021,10,1
40.5,-79.9,2021,5,2
40.5,-79.9,2021,6,1
40.5,-79.9,2021,7,3
40.5,-79.9,2021,8,1
40.5,-79.8,2021,7,1
40.5,-77.1,2021,7,1
40.5,-76.3,2021,6,1
