latitudeGrid,longitudeGrid,year,month,sightingCount
40.5,-76.3,2021,8,1
40.5,-75.8,2021,5,1
40.5,-75.3,2021,4,1
40.6,-80.2,2021,5,1
40.6,-80.1,2021,4,2
40.6,-80.0,2021,5,2
40.6,-80.0,2021,6,2
40.6,-80.0,2021,7,2
40.6,-80.0,2021,8,1
40.6,-79.5,2021,10,1
40.6,-79.2,2021,4,1
40.6,-75.5,2021,6,1
40.6,-75.4,2021,6,1
40.7,-80.3,2021,4,1
40.7,-79.9,2021,3,1
40.7,-79.9,2021,6,1
40.7,-79.7,2021,5,1
40.7,-78.5,2021,9,1
40.7,-78.0,2021,4,1
40.7,-77.9,2021,4,1
40.7,-77.9,2021,6,1
40.7,-76.8,2021,6,1
40.7,-75.5,2021,3,1
40.7,-75.4,2021,6,1
40.7,-75.2,2021,9,1
40.8,-80.3,2021,8,1
40.8,-79.8,2021,3,1
40.8,-79.5,2021,6,1
40.8,-79.5,2021,7,1
40.8,-79.5,2021,8,1
40.8,-79.4,2021,3,1
40.8,-79.3,2021,6,1
40.8,-77.9,2021,5,2
40.8,-77.9,2021,6,1
40.8,-77.9,2021,9,2
40.9,-79.9,2021,4,1
40.9,-79.4,2021,6,1
40.9,-79.3,2021,6,1
40.9,-78.1,2021,5,1
40.9,-77.8,2021,6,1
40.9,-77.8,2021,7,1
40.9,-76.9,2021,8,1
40.9,-76.1,2021,8,1
40.9,-75.7,2021,6,1
41.0,-80.4,2021,5,1
41.0,-80.4,2021,8,1
41.0,-80.3,2021,8,1
41.0,-80.1,2021,5,1
41.0,-79.9,2021,3,1
41.0,-76.6,2021,4,1
41.0,-76.6,2021,7,2
41.0,-76.4,2021,6,1
41.1,-80.2,2021,5,1
41.1,-78.8,2021,9,2
41.1,-78.7,2021,9,1
41.1,-77.6,2021,10,1
41.1,-77.3,2021,6,1
41.2,-80.1,2021,5,1
41.2,-76.9,2021,6,1
41.2,-76.4,2021,8,1
41.2,-75.9,2021,7,2
41.2,-75.5,2021,7,1
41.2,-75.4,2021,6,1
41.2,-75.3,2021,10,1
41.3,-80.5,2021,9,1
41.3,-77.0,2021,5,1
41.3,-76.0,2021,8,1
41.4,-80.4,2021,9,1
41.4,-80.4,2021,10,2
41.4,-79.8,2021,5,1
41.4,-79.8,2021,6,1
41.4,-78.6,2021,6,1
41.4,-76.1,2021,8,1
41.4,-75.7,2021,6,1
41.4,-75.6,2021,7,1
41.4,-75.2,2021,8,1
41.5,-75.7,2021,7,1
41.5,-75.2,2021,5,1
41.6,-80.0,2021,6,1
41.6,-75.7,2021,8,1
41.7,-80.1,2021,7,1
41.8,-78.0,2021,9,1
41.8,-76.8,2021,4,1
41.9,-80.1,2021,5,3
41.9,-75.4,2021,9,1
42.0,-80.2,2021,4,2
42.0,-80.2,2021,6,1
42.0,-80.2,2021,10,1
42.0,-78.7,2021,4,1
